20.05.2017
Stationscode;Stationsname;"Tagesmittelwerte �ber 50 �g/m�";Messmethode;"Erster Messtag im Jahr";"Aktuellster Messtag im Jahr";Jan;Feb;M�r;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
DEBY122;"Bad Hindelang/Oberjoch";0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEBY188;Schwabach/Angerstra�e;0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHB001;Bremen-Mitte;4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DEHB002;Bremen-Ost;5;K;01.01.2016;31.12.2016;5;0;0;0;0;0;0;0;0;0;0;0
DEHB004;Bremen-Nord;4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DEHB005;Bremerhaven;3;K;01.01.2016;31.12.2016;2;0;0;0;0;0;0;0;0;0;0;1
DEHB006;"Bremen Verkehr 1";6;K;01.01.2016;31.12.2016;4;0;1;0;0;0;0;0;0;1;0;0
DEHB011;"Cherbourger Stra�e";7;K;01.01.2016;31.12.2016;2;1;1;0;0;0;0;0;0;0;2;1
DEHB012;Bremen-Oslebshausen;4;K;01.01.2016;31.12.2016;3;0;0;0;0;0;1;0;0;0;0;0
DEHB013;Bremen-Hasenb�ren;6;K;01.01.2016;31.12.2016;4;0;1;0;0;0;0;0;0;1;0;0
DEHE001;Darmstadt;0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHE005;Frankfurt-H�chst;1;K;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;0
DEHE008;Frankfurt-Ost;3;K;01.01.2016;31.12.2016;1;0;1;0;0;0;0;0;0;0;0;1
DEHE011;Hanau;0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHE013;Kassel-Mitte;2;K;01.01.2016;31.12.2016;2;0;0;0;0;0;0;0;0;0;0;0
DEHE018;Raunheim;1;K;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;0
DEHE020;Wetzlar;3;K;01.01.2016;31.12.2016;0;0;2;0;0;0;0;0;0;0;1;0
DEHE022;Wiesbaden-S�d;1;K;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;0
DEHE024;Witzenhausen/Wald;6;K;01.01.2016;31.12.2016;0;0;0;0;0;0;2;1;3;0;0;0
